date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_seed,loser_entry
2007-02-26,Dubai,A,3,H,false,65,F,Roger Federer,1,Switzerland,SUI,1,2,2548,Mikhail Youzhny,Russian Federation,RUS,18,-2,2120,6-4 6-3,,
2007-02-26,Dubai,A,3,H,false,65,SF,Roger Federer,1,Switzerland,SUI,1,1,2547,Tommy Haas,Germany,GER,9,-2,2156,6-4 7-5,5,
2007-02-26,Dubai,A,3,H,false,65,QF,Roger Federer,1,Switzerland,SUI,1,2,2545,Novak Djokovic,Serbia,SRB,14,-1,2090,6-3 6-7(6) 6-3,7,
2007-02-26,Dubai,A,3,H,false,65,R16,Roger Federer,1,Switzerland,SUI,1,,2545,Daniele Bracciali,Italy,ITA,88,,1814,7-5 6-3,,
2007-02-26,Dubai,A,3,H,false,65,R32,Roger Federer,1,Switzerland,SUI,1,,2545,Kristian Pless,Denmark,DEN,86,-1,1769,7-6(2) 3-6 6-3,,
2007-01-15,Australian Open,G,5,H,false,55,F,Roger Federer,1,Switzerland,SUI,1,4,2541,Fernando Gonzalez,Chile,CHI,9,-5,2214,7-6(2) 6-4 6-4,10,
2007-01-15,Australian Open,G,5,H,false,55,SF,Roger Federer,1,Switzerland,SUI,1,4,2537,Andy Roddick,United States,USA,7,-4,2188,6-4 6-0 6-2,6,
2007-01-15,Australian Open,G,5,H,false,55,QF,Roger Federer,1,Switzerland,SUI,1,2,2535,Tommy Robredo,Spain,ESP,6,-2,2096,6-3 7-6(2) 7-5,7,
2007-01-15,Australian Open,G,5,H,false,55,R16,Roger Federer,1,Switzerland,SUI,1,1,2534,Novak Djokovic,Serbia,SRB,15,-2,2088,6-2 7-5 6-3,14,
2007-01-15,Australian Open,G,5,H,false,55,R32,Roger Federer,1,Switzerland,SUI,1,2,2532,Mikhail Youzhny,Russian Federation,RUS,25,-2,2022,6-3 6-3 7-6(5),25,
2007-01-15,Australian Open,G,5,H,false,55,R64,Roger Federer,1,Switzerland,SUI,1,,2532,Jonas Bjorkman,Sweden,SWE,50,,1897,6-2 6-3 6-2,,
2007-01-15,Australian Open,G,5,H,false,55,R128,Roger Federer,1,Switzerland,SUI,1,1,2531,Bjorn Phau,Germany,GER,82,,1750,7-5 6-0 6-4,,
2006-11-13,Masters Cup,F,5,H,true,73,F,Roger Federer,,Switzerland,SUI,1,3,2529,James Blake,United States,USA,8,-3,2150,6-0 6-3 6-4,,
2006-11-13,Masters Cup,F,3,H,true,73,SF,Roger Federer,,Switzerland,SUI,1,5,2524,Rafael Nadal,Spain,ESP,2,-5,2316,6-4 7-5,,
2006-11-13,Masters Cup,F,3,H,true,73,RR,Roger Federer,,Switzerland,SUI,1,2,2522,Ivan Ljubicic,Croatia,CRO,4,-2,2140,7-6(2) 6-4,,
2006-11-13,Masters Cup,F,3,H,true,73,RR,Roger Federer,,Switzerland,SUI,1,3,2519,Andy Roddick,United States,USA,5,-3,2156,4-6 7-6(8) 6-4,,
2006-11-13,Masters Cup,F,3,H,true,73,RR,Roger Federer,,Switzerland,SUI,1,2,2517,David Nalbandian,Argentina,ARG,7,-3,2138,3-6 6-1 6-1,,
2006-10-23,Basel,B,5,P,true,82,F,Roger Federer,1,Switzerland,SUI,1,3,2514,Fernando Gonzalez,Chile,CHI,7,-3,2173,6-3 6-2 7-6(3),3,
2006-10-23,Basel,B,3,P,true,82,SF,Roger Federer,1,Switzerland,SUI,1,,2514,Paradorn Srichaphan,Thailand,THA,54,-1,1930,6-4 3-6 7-6(5),,
2006-10-23,Basel,B,3,P,true,82,QF,Roger Federer,1,Switzerland,SUI,1,1,2513,David Ferrer,Spain,ESP,15,-1,2038,6-3 7-6(14),5,
2006-10-23,Basel,B,3,P,true,82,R16,Roger Federer,1,Switzerland,SUI,1,1,2512,Guillermo Garcia Lopez,Spain,ESP,75,,1813,6-2 6-0,,
2006-10-23,Basel,B,3,P,true,82,R32,Roger Federer,1,Switzerland,SUI,1,,2512,Tomas Zib,Czech Republic,CZE,151,,1725,6-1 6-2,,Q
2006-10-16,Madrid Masters,M,5,H,true,78,F,Roger Federer,1,Switzerland,SUI,1,3,2509,Fernando Gonzalez,Chile,CHI,10,-4,2164,7-5 6-1 6-0,10,
2006-10-16,Madrid Masters,M,3,H,true,78,SF,Roger Federer,1,Switzerland,SUI,1,3,2506,David Nalbandian,Argentina,ARG,4,-2,2148,6-4 6-0,4,
2006-10-16,Madrid Masters,M,3,H,true,78,QF,Roger Federer,1,Switzerland,SUI,1,,2506,Robby Ginepri,United States,USA,47,-1,1969,6-3 7-6(4),,
2006-10-16,Madrid Masters,M,3,H,true,78,R16,Roger Federer,1,Switzerland,SUI,1,2,2504,Robin Soderling,Sweden,SWE,29,-1,2019,7-6(5) 7-6(8),,
2006-10-16,Madrid Masters,M,3,H,true,78,R32,Roger Federer,1,Switzerland,SUI,1,,2504,Nicolas Massu,Chile,CHI,45,-1,1962,6-3 6-2,,
2006-10-02,Tokyo,A,3,H,false,59,F,Roger Federer,1,Switzerland,SUI,1,2,2502,Tim Henman,United Kingdom,GBR,55,-2,2046,6-3 6-3,10,
2006-10-02,Tokyo,A,3,H,false,59,SF,Roger Federer,1,Switzerland,SUI,1,,2502,Benjamin Becker,Germany,GER,72,-1,1897,6-3 6-4,14,
2006-10-02,Tokyo,A,3,H,false,59,QF,Roger Federer,1,Switzerland,SUI,1,1,2501,Takao Suzuki,Japan,JPN,1078,,1846,4-6 7-5 7-6(3),,WC
2006-10-02,Tokyo,A,3,H,false,59,R16,Roger Federer,1,Switzerland,SUI,1,,2501,Wesley Moodie,South Africa,RSA,73,-1,1873,6-2 6-1,13,
2006-10-02,Tokyo,A,3,H,false,59,R32,Roger Federer,1,Switzerland,SUI,1,,2501,Viktor Troicki,Serbia,SRB,276,,1724,7-6(2) 7-6(3),,Q
2006-09-22,Davis Cup WG,D,5,H,false,,RR,Roger Federer,,Switzerland,SUI,1,2,2499,Novak Djokovic,Serbia,SRB,21,-1,2031,6-3 6-2 6-3,,
2006-09-22,Davis Cup WG,D,5,H,false,,RR,Roger Federer,,Switzerland,SUI,1,,2499,Janko Tipsarevic,Serbia,SRB,92,-1,1734,6-3 6-2 6-2,,
2006-08-28,US Open,G,5,H,false,61,F,Roger Federer,1,Switzerland,SUI,1,5,2494,Andy Roddick,United States,USA,10,-5,2192,6-2 4-6 7-5 6-1,9,
2006-08-28,US Open,G,5,H,false,61,SF,Roger Federer,1,Switzerland,SUI,1,3,2491,Nikolay Davydenko,Russian Federation,RUS,6,-3,2121,6-1 7-5 6-4,7,
2006-08-28,US Open,G,5,H,false,61,QF,Roger Federer,1,Switzerland,SUI,1,2,2489,James Blake,United States,USA,7,-3,2098,7-6(7) 6-0 6-7(9) 6-4,5,
2006-08-28,US Open,G,5,H,false,61,R16,Roger Federer,1,Switzerland,SUI,1,1,2488,Marc Gicquel,France,FRA,79,-1,1862,6-3 7-6(2) 6-3,,
2006-08-28,US Open,G,5,H,false,61,R32,Roger Federer,1,Switzerland,SUI,1,1,2487,Vincent Spadea,United States,USA,84,-1,1871,6-3 6-3 6-0,,
2006-08-28,US Open,G,5,H,false,61,R64,Roger Federer,1,Switzerland,SUI,1,1,2486,Tim Henman,United Kingdom,GBR,62,-1,2020,6-3 6-4 7-5,,
2006-08-28,US Open,G,5,H,false,61,R128,Roger Federer,1,Switzerland,SUI,1,1,2485,Jimmy Wang,"Taiwan, Province of China",TPE,109,-1,1790,6-4 6-1 6-0,,
