date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry
1978-07-14,Davis Cup EUR,D,5,C,false,SF,Bjorn Borg,,Sweden,SWE,3,1,2526,Jose Higueras,,Spain,ESP,29,-2,2118,6-1 6-4 6-2,
1978-07-14,Davis Cup EUR,D,5,C,false,SF,Bjorn Borg,,Sweden,SWE,3,3,2523,Manuel Orantes,,Spain,ESP,7,-2,2187,6-2 5-7 6-3 6-3,
1978-06-26,Wimbledon,G,5,G,false,F,Bjorn Borg,1,Sweden,SWE,3,15,2508,Jimmy Connors,2,United States,USA,1,-14,2477,6-2 6-2 6-3,
1978-06-26,Wimbledon,G,5,G,false,SF,Bjorn Borg,1,Sweden,SWE,3,2,2506,Tom Okker,,Netherlands,NED,30,-3,2075,6-4 6-4 6-4,
1978-06-26,Wimbledon,G,5,G,false,QF,Bjorn Borg,1,Sweden,SWE,3,3,2503,Sandy Mayer,8,United States,USA,14,-3,2172,7-5 6-4 6-3,
1978-06-26,Wimbledon,G,5,G,false,R16,Bjorn Borg,1,Sweden,SWE,3,1,2502,Geoff Masters,,Australia,AUS,73,-1,1902,6-2 6-4 8-6,
1978-06-26,Wimbledon,G,5,G,false,R32,Bjorn Borg,1,Sweden,SWE,3,2,2500,Jaime Fillol,,Chile,CHI,16,-2,2027,6-4 6-2 6-8 6-4,
1978-06-26,Wimbledon,G,5,G,false,R64,Bjorn Borg,1,Sweden,SWE,3,,2500,Peter Mcnamara,,Australia,AUS,187,-1,1709,6-2 6-2 6-4,
1978-06-26,Wimbledon,G,5,G,false,R128,Bjorn Borg,1,Sweden,SWE,3,1,2499,Victor Amaya,,United States,USA,141,-1,1916,8-9 6-1 1-6 6-3 6-3,
1978-06-13,Davis Cup EUR,D,5,C,false,QF,Bjorn Borg,,Sweden,SWE,3,1,2498,Zeljko Franulovic,,Croatia,CRO,49,-1,2007,6-2 6-2 9-7,
1978-06-13,Davis Cup EUR,D,5,C,false,QF,Bjorn Borg,,Sweden,SWE,3,,2498,Zoltan Ilin,,Serbia,SRB,,-1,1665,6-0 6-0 6-2,
1978-05-29,Roland Garros,G,5,C,false,F,Bjorn Borg,1,Sweden,SWE,3,13,2485,Guillermo Vilas,2,Argentina,ARG,2,-13,2415,6-1 6-1 6-3,
1978-05-29,Roland Garros,G,5,C,false,SF,Bjorn Borg,1,Sweden,SWE,3,3,2482,Corrado Barazzutti,7,Italy,ITA,11,-3,2134,6-0 6-1 6-0,
1978-05-29,Roland Garros,G,5,C,false,QF,Bjorn Borg,1,Sweden,SWE,3,5,2477,Raul Ramirez,6,Mexico,MEX,9,-5,2216,6-3 6-3 6-0,
1978-05-29,Roland Garros,G,5,C,false,R16,Bjorn Borg,1,Sweden,SWE,3,4,2473,Roscoe Tanner,9,United States,USA,23,-3,2155,6-2 6-4 7-6,
1978-05-29,Roland Garros,G,5,C,false,R32,Bjorn Borg,1,Sweden,SWE,3,1,2472,Paolo Bertolucci,,Italy,ITA,31,-2,1988,6-0 6-2 6-2,
1978-05-29,Roland Garros,G,5,C,false,R64,Bjorn Borg,1,Sweden,SWE,3,1,2471,Rick Fagel,,United States,USA,76,,1752,6-0 6-1 6-0,
1978-05-29,Roland Garros,G,5,C,false,R128,Bjorn Borg,1,Sweden,SWE,3,,2471,Eric Deblicker,,France,FRA,96,-1,1865,6-1 6-1 6-1,
1978-05-22,Rome,M,5,C,false,F,Bjorn Borg,1,Sweden,SWE,3,3,2468,Adriano Panatta,,Italy,ITA,22,-4,2106,1-6 6-3 6-1 4-6 6-3,
1978-05-22,Rome,M,5,C,false,SF,Bjorn Borg,1,Sweden,SWE,3,5,2463,Eddie Dibbs,4,United States,USA,6,-4,2210,6-4 6-3 6-0,
1978-05-22,Rome,M,3,C,false,QF,Bjorn Borg,1,Sweden,SWE,3,4,2459,Harold Solomon,8,United States,USA,13,-4,2194,6-2 6-1,
1978-05-22,Rome,M,3,C,false,R16,Bjorn Borg,1,Sweden,SWE,3,2,2457,Roscoe Tanner,9,United States,USA,23,-2,2146,6-2 6-4,
1978-05-22,Rome,M,3,C,false,R32,Bjorn Borg,1,Sweden,SWE,3,1,2456,Eric Deblicker,,France,FRA,96,-1,1866,5-7 6-2 6-0,
1978-05-22,Rome,M,3,C,false,R64,Bjorn Borg,1,Sweden,SWE,3,1,2455,Ricardo Ycaza,,Ecuador,ECU,111,-1,1807,4-6 6-0 6-2,
1978-05-09,Dallas WCT,L,5,P,true,QF,Bjorn Borg,,Sweden,SWE,3,3,2461,Dick Stockton,,United States,USA,8,-3,2147,4-6 6-2 6-1 6-0,
1978-04-03,Rotterdam WTC,A,3,P,true,R16,Bjorn Borg,2,Sweden,SWE,3,1,2468,Antonio Zugarelli,,Italy,ITA,54,,1882,6-1 6-2,
1978-04-03,Rotterdam WTC,A,3,P,true,R32,Bjorn Borg,2,Sweden,SWE,3,,2468,Louk Sanders,,Netherlands,NED,99,,1787,6-2 6-3,
1978-03-27,Milan WCT,A,3,P,true,F,Bjorn Borg,1,Sweden,SWE,3,6,2462,Vitas Gerulaitis,2,United States,USA,4,-6,2282,6-3 6-3,
1978-03-27,Milan WCT,A,3,P,true,SF,Bjorn Borg,1,Sweden,SWE,3,2,2460,Stan Smith,,United States,USA,20,-2,2107,6-7 6-0 6-2,
1978-03-27,Milan WCT,A,3,P,true,QF,Bjorn Borg,1,Sweden,SWE,3,2,2458,Adriano Panatta,,Italy,ITA,22,-3,2095,6-3 6-3,
1978-03-27,Milan WCT,A,3,P,true,R16,Bjorn Borg,1,Sweden,SWE,3,1,2457,Zeljko Franulovic,,Croatia,CRO,49,-1,1980,6-0 6-0,
1978-03-27,Milan WCT,A,3,P,true,R32,Bjorn Borg,1,Sweden,SWE,3,1,2456,Tomas Smid,,Czech Republic,CZE,67,-1,1876,6-3 6-0,
1978-03-20,Las Vegas,B,5,P,true,F,Bjorn Borg,2,Sweden,SWE,3,5,2451,Vitas Gerulaitis,3,United States,USA,4,-5,2269,6-5 5-6 6-4 6-5,
1978-03-20,Las Vegas,B,3,P,true,SF,Bjorn Borg,2,Sweden,SWE,3,2,2449,Cliff Drysdale,,South Africa,RSA,27,-2,2047,6-4 6-5,
1978-03-20,Las Vegas,B,3,P,true,QF,Bjorn Borg,2,Sweden,SWE,3,2,2447,Tony Roche,,Australia,AUS,24,-2,2094,6-4 6-2,
1978-03-20,Las Vegas,B,3,P,true,R16,Bjorn Borg,2,Sweden,SWE,3,2,2445,Rod Laver,,Australia,AUS,120,-3,2138,6-4 6-2,
1978-03-17,Davis Cup EUR,D,5,H,false,RR,Bjorn Borg,,Sweden,SWE,3,1,2444,Sean Sorensen,,Ireland,IRL,352,-1,1641,6-0 6-2 6-0,
1978-03-17,Davis Cup EUR,D,5,H,false,RR,Bjorn Borg,,Sweden,SWE,3,,2444,Michael Hickey,,Ireland,IRL,,-1,1585,6-1 6-1 6-0,
