date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry
1978-08-29,US Open,G,5,H,false,F,Jimmy Connors,2,United States,USA,1,18,2500,Bjorn Borg,1,Sweden,SWE,2,-18,2545,6-4 6-2 6-2,
1978-08-29,US Open,G,5,H,false,SF,Bjorn Borg,1,Sweden,SWE,2,7,2538,Vitas Gerulaitis,4,United States,USA,4,-7,2339,6-3 6-2 7-6,
1978-08-29,US Open,G,5,H,false,QF,Bjorn Borg,1,Sweden,SWE,2,3,2535,Raul Ramirez,8,Mexico,MEX,8,-4,2203,6-7 6-4 6-4 6-0,
1978-08-29,US Open,G,5,H,false,R16,Bjorn Borg,1,Sweden,SWE,2,4,2531,Harold Solomon,12,United States,USA,10,-3,2209,6-2 6-2 6-0,
1978-08-29,US Open,G,3,H,false,R32,Bjorn Borg,1,Sweden,SWE,2,1,2530,Bernard Mitton,,South Africa,RSA,64,-1,1942,4-6 6-4 6-2,
1978-08-29,US Open,G,3,H,false,R64,Bjorn Borg,1,Sweden,SWE,2,,2530,Heinz Gunthardt,,Switzerland,SUI,56,-1,1884,6-2 6-4,
1978-08-29,US Open,G,3,H,false,R128,Bjorn Borg,1,Sweden,SWE,2,,2530,Bob Hewitt,,South Africa,RSA,127,,1849,6-0 6-2,
1978-07-17,Bastad,B,3,C,false,F,Bjorn Borg,1,Sweden,SWE,3,2,2528,Corrado Barazzutti,2,Italy,ITA,10,-2,2135,6-1 6-2,
1978-07-17,Bastad,B,3,C,false,SF,Bjorn Borg,1,Sweden,SWE,3,,2528,Antonio Munoz,,Spain,ESP,165,,1803,6-4 6-1,
1978-07-17,Bastad,B,3,C,false,QF,Bjorn Borg,1,Sweden,SWE,3,1,2527,Chris Lewis Nzl,5,New Zealand,NZL,55,-1,1859,7-6 6-3,
1978-07-17,Bastad,B,3,C,false,R16,Bjorn Borg,1,Sweden,SWE,3,,2527,Bob Carmichael,,Australia,AUS,182,-1,1576,6-0 6-0,
1978-07-17,Bastad,B,3,C,false,R32,Bjorn Borg,1,Sweden,SWE,3,,2527,Tony Giammalva,,United States,USA,300,-1,1543,6-1 6-0,Q
