date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry
1981-11-16,Buenos Aires,B,3,C,false,F,Ivan Lendl,1,Czech Republic,CZE,6,6,2372,Guillermo Vilas,2,Argentina,ARG,4,-7,2248,6-1 6-2,
1981-11-16,Buenos Aires,B,3,C,false,SF,Ivan Lendl,1,Czech Republic,CZE,6,2,2370,Pedro Rebolledo,,Chile,CHI,125,-2,1907,6-4 6-4,
1981-11-16,Buenos Aires,B,3,C,false,QF,Ivan Lendl,1,Czech Republic,CZE,6,,2370,Diego Perez,,Uruguay,URU,211,-1,1844,6-1 6-0,
1981-11-16,Buenos Aires,B,3,C,false,R16,Ivan Lendl,1,Czech Republic,CZE,6,3,2367,Manuel Orantes,,Spain,ESP,58,-2,2046,6-4 6-0,
1981-11-16,Buenos Aires,B,3,C,false,R32,Ivan Lendl,1,Czech Republic,CZE,6,,2367,Angel Gimenez,,Spain,ESP,86,-1,1855,6-3 6-4,
1981-10-26,Cologne,B,3,H,true,F,Ivan Lendl,1,Czech Republic,CZE,6,4,2363,Sandy Mayer,3,United States,USA,52,-3,2099,6-3 6-3,
1981-10-26,Cologne,B,3,H,true,SF,Ivan Lendl,1,Czech Republic,CZE,6,1,2362,Sammy Giammalva Jr,,United States,USA,189,-2,1849,6-3 6-1,
1981-10-26,Cologne,B,3,H,true,QF,Ivan Lendl,1,Czech Republic,CZE,6,1,2361,Andrew Pattison,,United States,USA,58,-2,1867,2-6 6-4 6-2,
1981-10-26,Cologne,B,3,H,true,R16,Ivan Lendl,1,Czech Republic,CZE,6,,2361,Jaroslav Navratil,,Czech Republic,CZE,302,-1,1693,6-2 6-1,Q
1981-10-26,Cologne,B,3,H,true,R32,Ivan Lendl,1,Czech Republic,CZE,6,1,2360,Nick Saviano,,United States,USA,96,-1,1855,6-3 6-2,
1981-10-19,Vienna,B,5,H,true,F,Ivan Lendl,1,Czech Republic,CZE,6,5,2355,Brian Gottfried,2,United States,USA,11,-5,2135,1-6 6-0 6-1 6-2,
1981-10-19,Vienna,B,3,H,true,SF,Ivan Lendl,1,Czech Republic,CZE,6,3,2352,Tomas Smid,4,Czech Republic,CZE,23,-3,2069,6-2 6-2,
1981-10-19,Vienna,B,3,H,true,QF,Ivan Lendl,1,Czech Republic,CZE,6,3,2349,Sandy Mayer,5,United States,USA,52,-3,2085,7-5 6-4,
1981-10-19,Vienna,B,3,H,true,R16,Ivan Lendl,1,Czech Republic,CZE,6,1,2348,Roland Stadler,,Switzerland,SUI,184,-1,1806,6-1 6-3,
1981-10-19,Vienna,B,3,H,true,R32,Ivan Lendl,1,Czech Republic,CZE,6,,2348,Eric Fromm,,United States,USA,249,-1,1687,6-2 6-1,
1981-10-12,Basel,B,5,H,true,F,Ivan Lendl,1,Czech Republic,CZE,6,10,2338,Jose Luis Clerc,2,Argentina,ARG,8,-10,2293,6-2 6-3 6-0,
1981-10-12,Basel,B,3,H,true,SF,Ivan Lendl,1,Czech Republic,CZE,6,2,2336,Heinz Gunthardt,8,Switzerland,SUI,25,-3,1996,6-2 6-1,
1981-10-12,Basel,B,3,H,true,QF,Ivan Lendl,1,Czech Republic,CZE,6,4,2332,Eddie Dibbs,5,United States,USA,12,-4,2113,6-1 6-0,
1981-10-12,Basel,B,3,H,true,R16,Ivan Lendl,1,Czech Republic,CZE,6,1,2331,Marko Ostoja,,Croatia,CRO,203,-1,1819,6-4 6-1,Q
1981-10-12,Basel,B,3,H,true,R32,Ivan Lendl,1,Czech Republic,CZE,6,,2331,Steve Denton,,United States,USA,403,-1,1736,6-4 6-1,
1981-10-05,Barcelona,B,5,C,false,F,Ivan Lendl,1,Czech Republic,CZE,6,9,2322,Guillermo Vilas,2,Argentina,ARG,4,-9,2251,6-0 6-3 6-0,
1981-10-05,Barcelona,B,3,C,false,SF,Ivan Lendl,1,Czech Republic,CZE,6,5,2317,Yannick Noah,4,France,FRA,21,-5,2132,6-0 6-3,
1981-10-05,Barcelona,B,3,C,false,QF,Ivan Lendl,1,Czech Republic,CZE,6,3,2314,Adriano Panatta,6,Italy,ITA,32,-3,2032,6-3 3-6 6-2,
1981-10-05,Barcelona,B,3,C,false,R16,Ivan Lendl,1,Czech Republic,CZE,6,3,2311,Manuel Orantes,12,Spain,ESP,58,-3,2052,6-1 6-2,
1981-10-05,Barcelona,B,3,C,false,R32,Ivan Lendl,1,Czech Republic,CZE,6,,2311,Dominique Bedel,,France,FRA,103,-1,1734,6-3 7-5,
1981-10-05,Barcelona,B,3,C,false,R64,Ivan Lendl,1,Czech Republic,CZE,6,,2311,Henrik Sundstrom,,Sweden,SWE,,-2,1488,6-3 6-0,
1981-09-29,Madrid,B,5,C,false,F,Ivan Lendl,1,Czech Republic,CZE,6,1,2310,Pablo Arraya,,Peru,PER,309,-2,1801,6-3 6-2 6-2,
1981-09-29,Madrid,B,3,C,false,SF,Ivan Lendl,1,Czech Republic,CZE,6,3,2307,Andres Gomez,8,Ecuador,ECU,44,-3,2018,6-2 3-6 6-3,
1981-09-29,Madrid,B,3,C,false,QF,Ivan Lendl,1,Czech Republic,CZE,6,1,2306,Joakim Nystrom,,Sweden,SWE,440,-2,1852,6-2 6-2,
1981-09-29,Madrid,B,3,C,false,R16,Ivan Lendl,1,Czech Republic,CZE,6,1,2305,Gabriel Urpi,,Spain,ESP,115,-2,1787,6-3 6-2,
1981-09-29,Madrid,B,3,C,false,R32,Ivan Lendl,1,Czech Republic,CZE,6,,2305,Juan Avendano,,Spain,ESP,269,-2,1500,6-1 6-1,
