date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry
1982-02-15,La Quinta,M,3,H,false,F,Yannick Noah,4,France,FRA,12,21,2114,Ivan Lendl,1,Czech Republic,CZE,2,-21,2431,3-6 6-2 7-5,
1982-02-15,La Quinta,M,3,H,false,SF,Ivan Lendl,1,Czech Republic,CZE,2,3,2428,Raul Ramirez,,Mexico,MEX,34,-3,2087,7-6 6-3,
1982-02-15,La Quinta,M,3,H,false,QF,Ivan Lendl,1,Czech Republic,CZE,2,1,2427,Victor Amaya,,United States,USA,96,-2,1984,6-1 6-1,
1982-02-15,La Quinta,M,3,H,false,R16,Ivan Lendl,1,Czech Republic,CZE,2,1,2426,Kim Warwick,,Australia,AUS,84,-2,1955,3-6 6-3 7-5,
1982-02-15,La Quinta,M,3,H,false,R32,Ivan Lendl,1,Czech Republic,CZE,2,2,2424,Robert Lutz,,United States,USA,102,-1,1964,7-5 6-1,
1982-02-15,La Quinta,M,3,H,false,R64,Ivan Lendl,1,Czech Republic,CZE,2,,2424,Scott Davis,,United States,USA,273,-1,1695,6-1 6-3,Q
1982-01-25,Delray Beach WCT,B,5,C,false,F,Ivan Lendl,1,Czech Republic,CZE,2,3,2421,Peter Mcnamara,4,Australia,AUS,10,-4,2123,6-4 4-6 6-4 7-5,
1982-01-25,Delray Beach WCT,B,3,C,false,SF,Ivan Lendl,1,Czech Republic,CZE,2,4,2417,Eliot Teltscher,3,United States,USA,8,-4,2200,6-2 3-6 6-4,
1982-01-25,Delray Beach WCT,B,3,C,false,QF,Ivan Lendl,1,Czech Republic,CZE,2,2,2415,Paul Mcnamee,,Australia,AUS,89,-1,1979,5-7 6-4 6-2,
1982-01-25,Delray Beach WCT,B,3,C,false,R16,Ivan Lendl,1,Czech Republic,CZE,2,2,2413,Mel Purcell,,United States,USA,26,-2,2058,7-5 7-6,
1982-01-13,Masters,F,5,P,true,F,Ivan Lendl,,Czech Republic,CZE,2,7,2406,Vitas Gerulaitis,,United States,USA,9,-7,2215,6-7 2-6 7-6 6-2 6-4,
1982-01-13,Masters,F,3,P,true,SF,Ivan Lendl,,Czech Republic,CZE,2,13,2393,John McEnroe,,United States,USA,1,-14,2444,6-4 6-2,
1982-01-13,Masters,F,3,P,true,RR,Ivan Lendl,,Czech Republic,CZE,2,6,2387,Guillermo Vilas,,Argentina,ARG,6,-6,2218,6-4 6-1,
1982-01-13,Masters,F,3,P,true,RR,Ivan Lendl,,Czech Republic,CZE,2,6,2381,Vitas Gerulaitis,,United States,USA,9,-5,2183,4-6 7-5 6-2,
